id,lon,lat,province,city,name,address,brand,category,birth,all_day,wifi,store_view,basketball,self_service,attractions,train,breakfast
19045,114.368523,30.61367,湖北省,武汉市,钢都花园,青山区园林路中百仓储购物广场一楼（123街坊50栋1层）,KFC,餐饮,true,false,true,true,true,true,false,false,true
18944,114.326138,30.503958,湖北省,武汉市,佰港城,南湖区文治街佰港城一层,KFC,餐饮,true,false,false,false,false,true,false,false,true
18822,114.266347,30.548843,湖北省,武汉市,钟家村甜品站,汉阳区轨道交通4号线二期钟家村站编号ZJC02,KFC,餐饮,false,false,false,false,false,false,false,false,false
19088,113.063713,28.146582,湖南省,长沙市,长沙高铁出发层,雨花区武广高铁长沙南站架层商业网点（编号：长3-1-1）,KFC,餐饮,false,false,false,false,false,true,false,false,true
18969,114.256589,30.731878,湖北省,武汉市,盘龙奥莱,黄陂区盘龙大道51号百联奥特莱斯广场18号楼一层186号商铺,KFC,餐饮,false,false,false,true,false,true,false,false,false
19020,113.111136,28.226219,湖南省,长沙市,漓湘路,星沙经济开发区,KFC,餐饮,false,false,false,false,false,false,false,false,false
19733,113.510028,22.224602,广东省,珠海市,华发商都,珠海珠海大道8号华发商都1号楼一层A1028、A1029号,KFC,餐饮,true,false,false,true,false,true,false,false,true
19719,113.545065,22.353172,广东省,珠海市,珠海山姆,香洲区前山广珠公路北侧、金凤路西侧的乐世界一层F104商铺,KFC,餐饮,true,false,false,true,false,false,false,false,false
19797,113.526491,22.267032,广东省,珠海市,时代广场,香洲人民西路与敬业路交汇处城风景时代广场商业群楼华润万佳一楼,KFC,餐饮,true,true,false,true,true,true,false,false,false
19767,113.542665,22.353185,广东省,珠海市,香洲,香洲凤凰路163号一楼,KFC,餐饮,true,true,false,true,true,true,false,false,false
19338,114.234963,22.553468,广东省,深圳市,沙头角,盐田区沙头角镇深盐路碧海蓝天明苑新一佳商场首层,KFC,餐饮,true,true,false,true,true,true,false,false,false
19740,113.358786,22.521805,广东省,中山市,富华,西区富华道边富业广场一层二层,KFC,餐饮,true,true,false,false,false,false,false,false,true
