CityCode,City,Year,population,gdp
340300,蚌埠市,2004,346.97,2636600
340400,淮南市,2004,233.58,2144900
340500,马鞍山市,2004,124.39,2650950
340600,淮北市,2004,209.39,1691300
340700,铜陵市,2004,71.629997,1367200
340800,安庆市,2004,604.20001,3920200
341000,黄山市,2004,146.35001,1319800
341100,滁州市,2004,433.5,3556400
341200,阜阳市,2004,918.70001,2633200
341300,宿州市,2004,599.59998,2791206
341400,巢湖市,2004,453.95999,2946200
341500,六安市,2004,675.14001,2531000
341600,毫州市,2004,545.66998,2246429
341700,池州市,2004,155.39999,924253
341800,宣城市,2004,273.01999,2356600
350100,福州市,2004,609.39001,15484561
350200,厦门市,2004,146.77,8832098
350300,莆田市,2004,303.67999,3084822
350400,三明市,2004,267.94,3758431
350500,泉州市,2004,665.28003,16029716
350600,漳州市,2004,455.82999,7020241
350700,南平市,2004,304.41,3216960
350800,龙岩市,2004,286.98001,3492257
350900,宁德市,2004,326.73999,3090407
360100,南昌市,2004,460.79001,7704622
360200,景德镇市,2004,150.57001,1651237
360300,萍乡市,2004,180.21001,1725560
360400,九江市,2004,464.82001,3567621
360500,新余市,2004,110.34,1340000
360600,鹰潭市,2004,111.58,963748
360700,赣州市,2004,845.65002,3980147
360800,吉安市,2004,466.64999,2428600
360900,宜春市,2004,525.45001,2895167
361000,抚州市,2004,378.76999,2041762
361100,上饶市,2004,668.82001,3010663
370100,济南市,2004,590.08002,16188729
370200,青岛市,2004,731.12,21638000
370300,淄博市,2004,414.98999,12309600
370400,枣庄市,2004,365.09,5033100
370500,东营市,2004,178.83,8925300
370600,烟台市,2004,646.82001,16308949
370700,潍坊市,2004,850.65002,12464100
370800,济宁市,2004,802.29999,11021600
370900,泰安市,2004,549.95001,7321100
371000,威海市,2004,248.39,10088100
371100,日照市,2004,280.48001,3877800
371200,莱芜市,2004,124.29,2238800
371300,临沂市,2004,1015.04,10120000
371400,德州市,2004,549.29999,6869000
371500,聊城市,2004,566.45001,5726900
371600,滨州市,2004,368.89999,5194500
371700,菏泽市,2004,880.69,3652200
410100,郑州市,2004,671.15002,13778886
410200,开封市,2004,481.70999,3457413
410300,洛阳市,2004,647.15997,9051980
410400,平顶山市,2004,494.44,4698229
410500,安阳市,2004,539.97998,4634693
410600,鹤壁市,2004,148.83,1563417
410700,新乡市,2004,562.98999,4615109
410800,焦作市,2004,345.5,4557036
410900,濮阳市,2004,367.45999,3174246
411000,许昌市,2004,450.64001,5158199
411100,漯河市,2004,261.25,2795597
411200,三门峡市,2004,223.28999,2746518
411300,南阳市,2004,1065.58,8933215
411400,商丘市,2004,838.67999,4558370
411500,信阳市,2004,794.84998,4342689
411600,周口市,2004,1094.37,5219821
411700,驻马店市,2004,833.98999,4458303
420100,武汉市,2004,785.90002,19560000
420200,黄石市,2004,254.92,3169800
420300,十堰市,2004,341.79001,2909600
420500,宜昌市,2004,398.51999,5886758
420600,襄樊市,2004,578.77002,5578800
420700,鄂州市,2004,105.32,1419200
420800,荆门市,2004,298.39999,3794609
420900,孝感市,2004,507.20001,3812900
421000,荆州市,2004,640.10999,4300200
421100,黄冈市,2004,726.34003,4323957
421200,咸宁市,2004,276.98001,2050000
421300,随州市,2004,257.72,1896900
430100,长沙市,2004,610.38,11338828
430200,株洲市,2004,370.92999,4524770
430300,湘潭市,2004,282.82001,3327810
430400,衡阳市,2004,718.95001,5421735
430500,邵阳市,2004,739.70001,3366166
430600,岳阳市,2004,529.34998,5903086
430700,常德市,2004,601.04999,5833656
430800,张家界市,2004,157.28999,960921
430900,益阳市,2004,458.54999,2873425
431000,郴州市,2004,457.70999,3950835
431100,永州市,2004,571.82001,3278510
431200,怀化市,2004,495.29001,2912274
431300,娄底市,2004,405.10001,2672073
440100,广州市,2004,737.66998,41158077
440200,韶关市,2004,316.98001,3127628
440300,深圳市,2004,165.13,34228000
440400,珠海市,2004,86.169998,5462802
440500,汕头市,2004,487.51999,6037625
440600,佛山市,2004,350.89001,16564573
440700,江门市,2004,385.53,8345574
440800,湛江市,2004,715.94,6081602
440900,茂名市,2004,670.59003,7503380
441200,肇庆市,2004,394.04999,5485089
441300,惠州市,2004,293.22,6851423
441400,梅州市,2004,496.89001,2716400
441500,汕尾市,2004,311.67001,2123059
441600,河源市,2004,333.20999,1730575
441700,阳江市,2004,262.82999,2738565
441800,清远市,2004,391.26001,2482768
441900,东莞市,2004,161.97,11552982
442000,中山市,2004,139.45,6101413
445100,潮州市,2004,249.59,2569282
445200,揭阳市,2004,601.77002,5405300
445300,云浮市,2004,261.95999,2575959
450100,南宁市,2004,648.84998,5888588
450200,柳州市,2004,354.51001,4037641
450300,桂林市,2004,493.88,4547642
450400,梧州市,2004,302.64999,1955430
450500,北海市,2004,147.87,1618918
450600,防城港市,2004,79.839996,846046
450700,钦州市,2004,344.01001,1746454
450800,贵港市,2004,475.48001,1648303
450900,玉林市,2004,595.48999,2998748
451000,百色市,2004,371.67999,2061640
451100,贺州市,2004,209.56,1400430
451200,河池市,2004,383,1744381
451300,来宾市,2004,245.13,1452075
451400,崇左市,2004,229.67,1287343
460100,海口市,2004,143.07001,2530155
460200,三亚市,2004,50.75,482348
500000,重庆市,2004,3144.23,26653900
510100,成都市,2004,1059.6899,21857299
510300,自贡市,2004,315.78,2493484
510400,攀枝花市,2004,107.06,2008306
510500,泸州市,2004,473.98999,2587937
510600,德阳市,2004,380.97,4247771
510700,绵阳市,2004,529.07001,4549447
510800,广元市,2004,303.91,1274716
510900,遂宁市,2004,380.03,1935270
511000,内江市,2004,420.67999,2435401
511100,乐山市,2004,347.67001,2657746
511300,南充市,2004,724.77002,3070864
511400,眉山市,2004,340.79001,2168208
511500,宜宾市,2004,517.88,3490282
511600,广安市,2004,452.85001,2175811
511700,达州市,2004,637.10999,3218573
511800,雅安市,2004,153.39999,1215901
511900,巴中市,2004,361.09,1246570
512000,资阳市,2004,488.01999,2369337
520100,贵阳市,2004,347.81,4436292
520200,六盘水市,2004,295.51001,1510957
520300,遵义市,2004,723.01001,3623727
520400,安顺市,2004,256.17001,877905
530100,昆明市,2004,502.92001,9421371
530300,曲靖市,2004,575.65997,3424766
530400,玉溪市,2004,208.55,3278995
530500,保山市,2004,241.13,980830
530600,昭通市,2004,524.34998,1456693
530700,丽江市,2004,112.73,503780
530800,思茅市,2004,254.89999,884887
530900,临沧市,2004,218.33,838988
540100,拉萨市,2004,,
610100,西安市,2004,725.01001,10958700
610200,铜川市,2004,84.330002,589020
610300,宝鸡市,2004,369.20001,3202970
610400,咸阳市,2004,489.75,3385620
610500,渭南市,2004,536.75,2477000
610600,延安市,2004,208.78999,1917640
610700,汉中市,2004,373.98999,1925310
610800,榆林市,2004,349.95999,1850400
610900,安康市,2004,294.97,1195450
611000,商洛市,2004,240.62,871500
620100,兰州市,2004,308.10999,5046500
620200,嘉峪关市,2004,16.76,444385
620300,金昌市,2004,46.310001,855262
